timestamp,project,bug_id,model,run_id,declared_test_file,resolved_test_file,test_file_found,post_test_pass,post_total,llm_energy_joules,duration_seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 19:46:52,cookiecutter,1,Qwen/Qwen2.5-Coder-1.5B,1,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,825.5145421,86.10622025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 19:48:21,cookiecutter,1,Qwen/Qwen2.5-Coder-1.5B,2,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,755.446428,35.32283354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 19:49:49,cookiecutter,1,Qwen/Qwen2.5-Coder-1.5B,3,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,754.4640412,33.98056912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 19:51:19,cookiecutter,1,Qwen/Qwen2.5-Coder-1.5B,4,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,749.4850316,35.82684398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 19:52:47,cookiecutter,1,Qwen/Qwen2.5-Coder-1.5B,5,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,751.1417184,33.8092854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 19:54:16,cookiecutter,1,Qwen/Qwen2.5-Coder-1.5B,6,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,746.3025508,33.70029044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 19:56:51,cookiecutter,1,Qwen/Qwen2.5-Coder-1.5B,7,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,743.123189,34.32288194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 19:58:23,cookiecutter,1,Qwen/Qwen2.5-Coder-1.5B,8,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,788.3154636,36.93538427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 19:59:50,cookiecutter,1,Qwen/Qwen2.5-Coder-1.5B,9,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,754.1239866,34.33369184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 20:01:20,cookiecutter,1,Qwen/Qwen2.5-Coder-1.5B,10,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,757.8385347,34.23656416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 20:11:13,cookiecutter,1,Qwen/Qwen2.5-Coder-3B,1,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,1099.087059,46.48354983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 20:12:56,cookiecutter,1,Qwen/Qwen2.5-Coder-3B,2,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,1085.017933,42.97934699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 20:16:45,cookiecutter,1,Qwen/Qwen2.5-Coder-3B,3,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,1089.307899,42.48121166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 20:18:30,cookiecutter,1,Qwen/Qwen2.5-Coder-3B,4,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,1288.004941,47.62440491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 20:20:16,cookiecutter,1,Qwen/Qwen2.5-Coder-3B,5,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,1304.10256,46.46958733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 20:21:59,cookiecutter,1,Qwen/Qwen2.5-Coder-3B,6,tests/test_generate_context.py,tests/test_generate_context.py,1,10,10,1091.04795,43.93957281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
